"_type","area_id","item_id","main_type","mid_type","price","price_text","sub_type"
"ItemInfo","1","m65869473885","家電・スマホ・カメラ","スマホアクセサリー","800","¥ 800","Android用ケース"
"ItemInfo","1","m38197398570","エンタメ・ホビー","おもちゃ/ぬいぐるみ","6500","¥ 6,500","キャラクターグッズ"
"ItemInfo","1","m70262407397","エンタメ・ホビー","トレーディングカード","300","¥ 300","遊戯王"
"ItemInfo","1","m89420660386","レディース","マタニティ","500","¥ 500","インナー"
"ItemInfo","1","m61166063458","エンタメ・ホビー","トレーディングカード","600","¥ 600","遊戯王"
"ItemInfo","1","m75217853149","レディース","ワンピース","2580","¥ 2,580","ミニワンピース"
"ItemInfo","1","m31747886603","メンズ","パンツ","3999","¥ 3,999","オーバーオール"
"ItemInfo","1","m70550845674","その他","ペット用品","650","¥ 650","猫"
"ItemInfo","1","m70262843360","レディース","トップス","866","¥ 866","パーカー"
"ItemInfo","1","m65105837053","レディース","帽子","1499","¥ 1,499","ニットキャップ/ビーニー"
"ItemInfo","1","m66818580435","エンタメ・ホビー","おもちゃ/ぬいぐるみ","11111","¥ 11,111","キャラクターグッズ"
"ItemInfo","1","m64356943856","ハンドメイド","アクセサリー(女性用)","860","¥ 860","ピアス"
"ItemInfo","1","m83805077879","インテリア・住まい・小物","ライト/照明","3500","¥ 3,500","天井照明"
"ItemInfo","1","m49710236390","ベビー・キッズ","キッズ服(女の子用) 100cm~","555","¥ 555","パンツ"
"ItemInfo","1","m39538852160","レディース","トップス","12000","¥ 12,000","パーカー"
"ItemInfo","1","m95079159740","インテリア・住まい・小物","キッチン/食器","5000","¥ 5,000","食器"
"ItemInfo","1","m23250916173","ハンドメイド","趣味/おもちゃ","999","¥ 999","おもちゃ/人形"
"ItemInfo","1","m13744167031","エンタメ・ホビー","漫画","310","¥ 310","少年"
"ItemInfo","1","m76180200888","レディース","ワンピース","3000","¥ 3,000","ひざ丈ワンピース"
"ItemInfo","1","m66936102095","エンタメ・ホビー","漫画","520","¥ 520","少女"
"ItemInfo","1","m18143421796","家電・スマホ・カメラ","美容/健康","4600","¥ 4,600","美容機器"
"ItemInfo","1","m93916108033","家電・スマホ・カメラ","スマホアクセサリー","400","¥ 400","iPhone用ケース"
"ItemInfo","1","m35960689458","家電・スマホ・カメラ","オーディオ機器","8000","¥ 8,000","スピーカー"
"ItemInfo","1","m65001702750","エンタメ・ホビー","おもちゃ/ぬいぐるみ","300","¥ 300","キャラクターグッズ"
"ItemInfo","1","m17841796357","コスメ・香水・美容","ベースメーク/化粧品","333","¥ 333","アイシャドウ"
"ItemInfo","1","m13310061235","エンタメ・ホビー","おもちゃ/ぬいぐるみ","1300","¥ 1,300","キャラクターグッズ"
"ItemInfo","1","m56841211179","レディース","スーツ/フォーマル/ドレス","5000","¥ 5,000","スカートスーツ上下"
"ItemInfo","1","m57629144579","スポーツ・レジャー","フィッシング","1100","¥ 1,100","ルアー用品"
"ItemInfo","1","m41884057164","エンタメ・ホビー","おもちゃ/ぬいぐるみ","300","¥ 300","キャラクターグッズ"
"ItemInfo","1","m35693930956","エンタメ・ホビー","コレクション","1588","¥ 1,588","ノベルティグッズ"
"ItemInfo","1","m50619233418","メンズ","バッグ","1800","¥ 1,800","その他"
"ItemInfo","1","m72434080993","エンタメ・ホビー","タレントグッズ","1800","¥ 1,800","スポーツ選手"
"ItemInfo","1","m51391318176","その他","アンティーク/コレクション","1500","¥ 1,500","雑貨"
"ItemInfo","1","m87221876911","ハンドメイド","アクセサリー(女性用)","99999","¥ 99,999","ピアス"
"ItemInfo","1","m43870222468","レディース","パンツ","1600","¥ 1,600","ガウチョパンツ"
"ItemInfo","1","m90377098236","レディース","トップス","1999","¥ 1,999","カーディガン/ボレロ"
"ItemInfo","1","m16660132901","メンズ","時計","48000","¥ 48,000","腕時計(アナログ)"
"ItemInfo","1","m55954236561","エンタメ・ホビー","おもちゃ/ぬいぐるみ","1700","¥ 1,700","キャラクターグッズ"
"ItemInfo","1","m82322782656","エンタメ・ホビー","コミック/アニメグッズ","5400","¥ 5,400","ストラップ"
"ItemInfo","1","m11271577254","ベビー・キッズ","ベビー服(男女兼用)  ~95cm","1333","¥ 1,333","パンツ"
"ItemInfo","1","m92031014445","エンタメ・ホビー","タレントグッズ","666","¥ 666","ミュージシャン"
"ItemInfo","1","m86680114309","レディース","トップス","800","¥ 800","パーカー"
"ItemInfo","1","m61685379886","メンズ","バッグ","1800","¥ 1,800","その他"
"ItemInfo","1","m31854203308","家電・スマホ・カメラ","カメラ","1800","¥ 1,800","フィルムカメラ"
"ItemInfo","1","m70876031180","レディース","ジャケット/アウター","4555","¥ 4,555","ジャンパー/ブルゾン"
"ItemInfo","1","m27047495051","レディース","トップス","400","¥ 400","Tシャツ/カットソー(半袖/袖なし)"
"ItemInfo","1","m25871096442","メンズ","トップス","1900","¥ 1,900","シャツ"
"ItemInfo","1","m73073353575","ベビー・キッズ","ベビー服(男女兼用)  ~95cm","777","¥ 777","トップス"
"ItemInfo","1","m46474797784","エンタメ・ホビー","おもちゃ/ぬいぐるみ","1600","¥ 1,600","キャラクターグッズ"
"ItemInfo","1","m20182555795","レディース","ジャケット/アウター","3000","¥ 3,000","ダッフルコート"
"ItemInfo","1","m53220261029","レディース","トップス","450","¥ 450","Tシャツ/カットソー(半袖/袖なし)"
"ItemInfo","1","m71438110970","ベビー・キッズ","ベビー家具/寝具/室内用品","2400","¥ 2,400","布団/毛布"
"ItemInfo","1","m98988796743","ハンドメイド","アクセサリー(女性用)","550","¥ 550","ピアス"
"ItemInfo","1","m24114858553","レディース","パンツ","800","¥ 800","ショートパンツ"
"ItemInfo","1","m43056389656","レディース","ジャケット/アウター","6500","¥ 6,500","ダッフルコート"
"ItemInfo","1","m77781609786","ベビー・キッズ","子ども用ファッション小物","1100","¥ 1,100","靴下/スパッツ"
"ItemInfo","1","m80613164149","レディース","靴","3333","¥ 3,333","ブーツ"
"ItemInfo","1","m91891952199","レディース","トップス","999","¥ 999","ニット/セーター"
"ItemInfo","1","m70187921190","エンタメ・ホビー","おもちゃ/ぬいぐるみ","2700","¥ 2,700","キャラクターグッズ"
"ItemInfo","1","m24323784704","エンタメ・ホビー","おもちゃ/ぬいぐるみ","750","¥ 750","キャラクターグッズ"
"ItemInfo","1","m11796686780","エンタメ・ホビー","おもちゃ/ぬいぐるみ","750","¥ 750","キャラクターグッズ"
"ItemInfo","1","m11386270490","コスメ・香水・美容","ベースメーク/化粧品","1840","¥ 1,840","口紅"
"ItemInfo","1","m59847218642","エンタメ・ホビー","おもちゃ/ぬいぐるみ","750","¥ 750","キャラクターグッズ"
