"_type","area_id","item_id","main_type","mid_type","price","price_text","sub_type"
"ItemInfo","1","m29808104642","エンタメ・ホビー","トレーディングカード","300","¥ 300","遊戯王"
"ItemInfo","1","m44568309377","レディース","バッグ","6000","¥ 6,000","ショルダーバッグ"
"ItemInfo","1","m88846770421","家電・スマホ・カメラ","PC/タブレット","18000","¥ 18,000","タブレット"
"ItemInfo","1","m98258188175","ベビー・キッズ","キッズ服(男の子用) 100cm~","2000","¥ 2,000","トップス(Tシャツ/カットソー)"
"ItemInfo","1","m32424976424","チケット","イベント","2200","¥ 2,200","キッズ/ファミリー"
"ItemInfo","1","m26040040839","エンタメ・ホビー","タレントグッズ","600","¥ 600","スポーツ選手"
"ItemInfo","1","m90154713278","その他","日用品/生活雑貨/旅行","300","¥ 300","洗剤/柔軟剤"
"ItemInfo","1","m52238700669","エンタメ・ホビー","レコード","1500","¥ 1,500","邦楽"
"ItemInfo","1","m32245888035","エンタメ・ホビー","コレクション","2000","¥ 2,000","ノベルティグッズ"
"ItemInfo","1","m66192194458","コスメ・香水・美容","スキンケア/基礎化粧品","2200","¥ 2,200","クレンジング/メイク落とし"
"ItemInfo","1","m42377766667","インテリア・住まい・小物","キッチン/食器","1000","¥ 1,000","食器"
"ItemInfo","1","m25690486212","ハンドメイド","日用品/インテリア","1888","¥ 1,888","文房具"
"ItemInfo","1","m88420841949","レディース","アクセサリー","1500","¥ 1,500","ピアス(両耳用)"
"ItemInfo","1","m75792442675","レディース","アクセサリー","1000","¥ 1,000","ブローチ/コサージュ"
"ItemInfo","1","m65184874484","インテリア・住まい・小物","キッチン/食器","1200","¥ 1,200","食器"
"ItemInfo","1","m83471028942","エンタメ・ホビー","CD","1400","¥ 1,400","その他"
"ItemInfo","1","m56598828243","ハンドメイド","素材/材料","1099","¥ 1,099","各種パーツ"
"ItemInfo","1","m76336985116","エンタメ・ホビー","その他","2222","¥ 2,222","鉄道"
"ItemInfo","1","m34000325597","エンタメ・ホビー","タレントグッズ","1300","¥ 1,300","アイドル"
"ItemInfo","1","m19561854258","エンタメ・ホビー","レコード","1380","¥ 1,380","邦楽"
"ItemInfo","1","m68460271453","レディース","ワンピース","1800","¥ 1,800","ロングワンピース"
"ItemInfo","1","m75734475907","レディース","時計","2980","¥ 2,980","腕時計(アナログ)"
"ItemInfo","1","m372428853","レディース","靴","2999","¥ 2,999","ブーツ"
"ItemInfo","1","m23038428839","コスメ・香水・美容","スキンケア/基礎化粧品","1200","¥ 1,200","フェイスクリーム"
"ItemInfo","1","m90845090651","エンタメ・ホビー","トレーディングカード","500","¥ 500","遊戯王"
