"_type","area_id","item_id","main_type","mid_type","price","price_text","sub_type"
"ItemInfo","1","m95821108312","エンタメ・ホビー","タレントグッズ","666","¥ 666","ミュージシャン"
"ItemInfo","1","m83277671386","レディース","レッグウェア","480","¥ 480","ソックス"
"ItemInfo","1","m52124986508","ベビー・キッズ","キッズ服(女の子用) 100cm~","1300","¥ 1,300","ワンピース"
"ItemInfo","1","m90299085001","ベビー・キッズ","ベビー服(女の子用)  ~95cm","1100","¥ 1,100","パンツ"
"ItemInfo","1","m84048782191","エンタメ・ホビー","おもちゃ/ぬいぐるみ","14800","¥ 14,800","鉄道模型"
"ItemInfo","1","m36389823800","メンズ","小物","6888","¥ 6,888","タバコグッズ"
"ItemInfo","1","m12575589686","レディース","トップス","3000","¥ 3,000","トレーナー/スウェット"
"ItemInfo","1","m45495105887","メンズ","小物","2500","¥ 2,500","タバコグッズ"
"ItemInfo","1","m44400286523","エンタメ・ホビー","漫画","6500","¥ 6,500","全巻セット"
"ItemInfo","1","m68017458920","メンズ","トップス","650","¥ 650","Tシャツ/カットソー(半袖/袖なし)"
"ItemInfo","1","m49246619317","ベビー・キッズ","ベビー服(女の子用)  ~95cm","3333","¥ 3,333","トップス"
"ItemInfo","1","m13961017870","ベビー・キッズ","おむつ/トイレ/バス","900","¥ 900","お風呂用品"
"ItemInfo","1","m87184201886","メンズ","ジャケット/アウター","13000","¥ 13,000","ダウンベスト"
"ItemInfo","1","m61906187690","ベビー・キッズ","キッズ靴","2000","¥ 2,000","ブーツ"
"ItemInfo","1","m34152577773","レディース","ワンピース","2500","¥ 2,500","ひざ丈ワンピース"
"ItemInfo","1","m50390204406","レディース","スカート","2500","¥ 2,500","ミニスカート"
"ItemInfo","1","m83359667356","メンズ","トップス","4500","¥ 4,500","シャツ"
"ItemInfo","1","m62484199370","メンズ","トップス","890","¥ 890","シャツ"
"ItemInfo","1","m40231973353","レディース","トップス","999","¥ 999","Tシャツ/カットソー(半袖/袖なし)"
"ItemInfo","1","m11818020454","自動車・オートバイ","自動車","5000","¥ 5,000","国内自動車用パーツ"
"ItemInfo","1","m38526512049","レディース","バッグ","800","¥ 800","ショップ袋"
"ItemInfo","1","m34497404107","ベビー・キッズ","おもちゃ","1100","¥ 1,100","知育玩具"
"ItemInfo","1","m13619168672","その他","まとめ売り","1533","¥ 1,533",""
"ItemInfo","1","m93224870325","メンズ","バッグ","1350","¥ 1,350","リュック/バックパック"
"ItemInfo","1","m40066136376","レディース","ジャケット/アウター","1200","¥ 1,200","ジャンパー/ブルゾン"
"ItemInfo","1","m44723553126","レディース","ワンピース","3000","¥ 3,000","ロングワンピース"
"ItemInfo","1","m36376995966","レディース","スカート","2600","¥ 2,600","ひざ丈スカート"
"ItemInfo","1","m79695104966","ハンドメイド","素材/材料","1800","¥ 1,800","各種パーツ"
"ItemInfo","1","m45133830460","ハンドメイド","アクセサリー(女性用)","550","¥ 550","ピアス"
"ItemInfo","1","m19085613178","メンズ","靴","1400","¥ 1,400","デッキシューズ"
"ItemInfo","1","m92630753127","レディース","靴","3000","¥ 3,000","スニーカー"
