"area_id","item_id","main_type","mid_type","sub_type","price","price_text","item_state","user_name","user_url","delivery_charge_burden","delivery_method","shipment_date_criterion",
"1","m79549939595","コスメ・香水・美容","スキンケア/基礎化粧品","フェイスクリーム","555","¥ 555","目立った傷や汚れなし","meesan","https://www.mercari.com/jp/u/290036858/","送料込み(出品者負担)","未定","4~7日で発送",
"1","m28535436062","レディース","トップス","ジャージ","2000","¥ 2,000","やや傷や汚れあり","ばんちー","https://www.mercari.com/jp/u/207183252/","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"1","m55057844610","その他","その他","","300","¥ 300","目立った傷や汚れなし","revo革命lution","https://www.mercari.com/jp/u/114311624/","送料込み(出品者負担)","ゆうゆうメルカリ便","2~3日で発送",
"1","m75719358262","インテリア・住まい・小物","収納家具","洋服タンス/押入れ収納","4500","¥ 4,500","やや傷や汚れあり","おすくりw  ★プロフ必読★","https://www.mercari.com/jp/u/843751424/","送料込み(出品者負担)","ゆうゆうメルカリ便","2~3日で発送",
"1","m82241433840","レディース","靴","ブーツ","5000","¥ 5,000","やや傷や汚れあり","びびあん","https://www.mercari.com/jp/u/372884677/","送料込み(出品者負担)","ゆうゆうメルカリ便","4~7日で発送",
"1","m95115218125","メンズ","ジャケット/アウター","ナイロンジャケット","6999","¥ 6,999","新品、未使用","くまろう","https://www.mercari.com/jp/u/402182682/","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
"1","m67485351088","レディース","スーツ/フォーマル/ドレス","パーティーバッグ","699","¥ 699","新品、未使用","パンダ","https://www.mercari.com/jp/u/407680429/","送料込み(出品者負担)","普通郵便(定形、定形外)","1~2日で発送",
"1","m94755746205","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","1850","¥ 1,850","新品、未使用","ISAMI","https://www.mercari.com/jp/u/210182424/","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"1","m27486886612","メンズ","パンツ","ワークパンツ/カーゴパンツ","3333","¥ 3,333","目立った傷や汚れなし","R2","https://www.mercari.com/jp/u/233892599/","送料込み(出品者負担)","らくらくメルカリ便","4~7日で発送",
"1","m78413885955","エンタメ・ホビー","トレーディングカード","デュエルマスターズ","555","¥ 555","目立った傷や汚れなし","みっきー","https://www.mercari.com/jp/u/911466327/","送料込み(出品者負担)","未定","2~3日で発送",
