"_type","area_id","item_id","main_type","mid_type","price","price_text","sub_type"
"ItemInfo","1","m90525339583","その他","アンティーク/コレクション","3999","¥ 3,999","雑貨"
"ItemInfo","1","m95281103650","メンズ","トップス","990","¥ 990","ニット/セーター"
"ItemInfo","1","m69250610191","ベビー・キッズ","ベビー服(女の子用)  ~95cm","1400","¥ 1,400","パジャマ"
"ItemInfo","1","m33323717541","メンズ","トップス","20000","¥ 20,000","ニット/セーター"
"ItemInfo","1","m71427834727","家電・スマホ・カメラ","PC/タブレット","6999","¥ 6,999","PC周辺機器"
"ItemInfo","1","m62837766705","レディース","バッグ","8100","¥ 8,100","ハンドバッグ"
"ItemInfo","1","m20959758839","レディース","スーツ/フォーマル/ドレス","4500","¥ 4,500","スカートスーツ上下"
"ItemInfo","1","m54682731811","家電・スマホ・カメラ","PC/タブレット","5000","¥ 5,000","PC周辺機器"
"ItemInfo","1","m16386513729","レディース","アクセサリー","888","¥ 888","リング"
"ItemInfo","1","m73790501432","エンタメ・ホビー","CD","300","¥ 300","K-POP/アジア"
"ItemInfo","1","m68194171914","エンタメ・ホビー","その他","350","¥ 350","その他"
"ItemInfo","1","m913175828","レディース","トップス","600","¥ 600","Tシャツ/カットソー(七分/長袖)"
"ItemInfo","1","m70206871276","エンタメ・ホビー","CD","1700","¥ 1,700","K-POP/アジア"
"ItemInfo","1","m54768386215","コスメ・香水・美容","ベースメーク/化粧品","2669","¥ 2,669","ファンデーション"
"ItemInfo","1","m62197625284","メンズ","ジャケット/アウター","6000","¥ 6,000","ライダースジャケット"
"ItemInfo","1","m66265111775","インテリア・住まい・小物","キッチン/食器","5000","¥ 5,000","食器"
"ItemInfo","1","m24197506513","エンタメ・ホビー","コレクション","2000","¥ 2,000","貨幣"
"ItemInfo","1","m22145913872","エンタメ・ホビー","おもちゃ/ぬいぐるみ","2000","¥ 2,000","キャラクターグッズ"
"ItemInfo","1","m64740415143","コスメ・香水・美容","ベースメーク/化粧品","622","¥ 622","口紅"
"ItemInfo","1","m81778476170","レディース","バッグ","4555","¥ 4,555","ショルダーバッグ"
"ItemInfo","1","m25530947654","レディース","スカート","2500","¥ 2,500","ひざ丈スカート"
"ItemInfo","1","m60017400412","レディース","ジャケット/アウター","3300","¥ 3,300","チェスターコート"
"ItemInfo","1","m60792526020","コスメ・香水・美容","ベースメーク/化粧品","600","¥ 600","フェイスパウダー"
"ItemInfo","1","m798363174","レディース","トップス","400","¥ 400","ニット/セーター"
"ItemInfo","1","m20606200192","ベビー・キッズ","キッズ服(男女兼用) 100cm~","2330","¥ 2,330","ジャケット/上着"
